Date,Rank,Symbol,Name,MarketCap,Price
2024-01-12,4,BNB,BNB,"$44,995,868,080.46",$296.6305
2024-01-12,5,SOL,Solana,"$39,640,966,832.34",$91.7209
2024-01-12,6,XRP,XRP,"$30,948,299,305.79",$0.5703
2024-01-12,7,USDC,USDC,"$25,379,148,226.15",$1.0003
2024-01-12,8,ADA,Cardano,"$19,367,726,306.18",$0.5473
2024-01-12,9,AVAX,Avalanche,"$13,151,813,258.41",$35.8717
2024-01-12,10,DOGE,Dogecoin,"$11,416,783,372.90",$0.0800
2024-01-12,11,DOT,Polkadot,"$9,871,260,357.63",$7.5693
2024-01-12,12,TRX,TRON,"$9,435,486,074.28",$0.1069
2024-01-12,13,MATIC,Polygon,"$8,264,183,010.53",$0.8642
2024-01-12,14,LINK,Chainlink,"$8,029,698,392.21",$14.1343
2024-01-12,15,TON,Toncoin,"$7,339,067,540.66",$2.1232
2024-01-12,16,SHIB,Shiba Inu,"$5,671,077,856.37",$0.0000
2024-01-12,17,ICP,Internet Computer,"$5,571,824,998.53",$12.2419
2024-01-12,18,LTC,Litecoin,"$5,400,914,435.67",$72.9002
2024-01-12,19,DAI,Dai,"$5,348,655,936.37",$1.0001
2024-01-12,20,BCH,Bitcoin Cash,"$5,088,535,446.74",$259.4555
2024-01-13,1,BTC,Bitcoin,"$839,627,405,357.25","$42,842.3822"
2024-01-13,2,ETH,Ethereum,"$309,658,639,357.88","$2,576.5979"
2024-01-13,3,USDT,Tether USDt,"$95,008,548,078.07",$1.0000
2024-01-13,4,BNB,BNB,"$45,844,809,827.09",$302.2273
2024-01-13,5,SOL,Solana,"$41,407,829,286.00",$95.7300
2024-01-13,6,XRP,XRP,"$31,207,656,875.35",$0.5751
2024-01-13,7,USDC,USDC,"$25,481,679,451.57",$1.0001
2024-01-13,8,ADA,Cardano,"$19,440,614,046.91",$0.5493
2024-01-13,9,AVAX,Avalanche,"$13,364,443,126.83",$36.4508
2024-01-13,10,DOGE,Dogecoin,"$11,542,908,765.05",$0.0809
2024-01-13,11,TRX,TRON,"$10,072,616,099.33",$0.1141
2024-01-13,12,DOT,Polkadot,"$10,072,904,241.78",$7.6130
2024-01-13,13,MATIC,Polygon,"$8,433,431,900.01",$0.8819
2024-01-13,14,LINK,Chainlink,"$8,160,208,099.02",$14.3640
2024-01-13,15,TON,Toncoin,"$7,295,715,114.71",$2.1106
2024-01-13,16,ICP,Internet Computer,"$5,879,139,666.33",$12.9167
2024-01-13,17,SHIB,Shiba Inu,"$5,828,008,735.65",$0.0000
2024-01-13,18,DAI,Dai,"$5,347,926,954.46",$1.0000
2024-01-13,19,LTC,Litecoin,"$5,333,578,315.71",$71.9875
2024-01-13,20,BCH,Bitcoin Cash,"$4,986,102,282.71",$254.2232
2024-01-14,1,BTC,Bitcoin,"$819,159,863,482.61","$41,796.2696"
2024-01-14,2,ETH,Ethereum,"$297,118,235,336.25","$2,472.2413"
2024-01-14,3,USDT,Tether USDt,"$94,962,362,320.48",$0.9995
2024-01-14,4,BNB,BNB,"$45,363,002,747.30",$299.0513
2024-01-14,5,SOL,Solana,"$40,716,891,332.76",$94.1331
2024-01-14,6,XRP,XRP,"$31,270,312,553.36",$0.5762
2024-01-14,7,USDC,USDC,"$25,486,391,647.49",$1.0002
2024-01-14,8,ADA,Cardano,"$18,616,041,015.96",$0.5260
2024-01-14,9,AVAX,Avalanche,"$12,956,586,116.49",$35.3380
2024-01-14,10,DOGE,Dogecoin,"$11,409,264,761.11",$0.0800
2024-01-14,11,TRX,TRON,"$9,808,109,455.84",$0.1112
2024-01-14,12,DOT,Polkadot,"$9,399,165,736.98",$7.3271
2024-01-14,13,LINK,Chainlink,"$8,406,227,760.15",$14.7971
2024-01-14,14,MATIC,Polygon,"$8,012,818,660.79",$0.8379
2024-01-14,15,TON,Toncoin,"$7,879,311,304.03",$2.2794
2024-01-14,16,ICP,Internet Computer,"$5,744,499,536.56",$12.6133
2024-01-14,17,SHIB,Shiba Inu,"$5,637,517,429.46",$0.0000
2024-01-14,18,DAI,Dai,"$5,346,610,388.98",$0.9998
2024-01-14,19,LTC,Litecoin,"$5,172,912,275.91",$69.8156
2024-01-14,20,BCH,Bitcoin Cash,"$4,825,092,777.41",$246.0058
2024-01-15,1,BTC,Bitcoin,"$833,216,754,804.02","$42,511.9677"
2024-01-15,2,ETH,Ethereum,"$301,817,746,260.65","$2,511.3637"
2024-01-15,3,USDT,Tether USDt,"$94,984,542,722.54",$0.9997
2024-01-15,4,BNB,BNB,"$48,171,627,758.07",$317.5673
2024-01-15,5,SOL,Solana,"$40,884,383,289.92",$94.4902
2024-01-15,6,XRP,XRP,"$31,253,363,302.57",$0.5759
2024-01-15,7,USDC,USDC,"$25,478,813,033.52",$1.0005
2024-01-15,8,ADA,Cardano,"$18,694,357,164.65",$0.5282
2024-01-15,9,AVAX,Avalanche,"$13,076,311,191.30",$35.6643
2024-01-15,10,DOGE,Dogecoin,"$11,573,968,822.96",$0.0811
2024-01-15,11,DOT,Polkadot,"$9,887,367,168.00",$7.5178
2024-01-15,12,TRX,TRON,"$9,593,278,070.16",$0.1087
2024-01-15,13,LINK,Chainlink,"$8,632,320,822.40",$15.1951
2024-01-15,14,TON,Toncoin,"$8,433,630,725.91",$2.4397
2024-01-15,15,MATIC,Polygon,"$8,079,941,847.86",$0.8449
2024-01-15,16,ICP,Internet Computer,"$5,871,599,069.14",$12.8921
2024-01-15,17,SHIB,Shiba Inu,"$5,633,902,246.30",$0.0000
2024-01-15,18,DAI,Dai,"$5,347,927,414.99",$1.0000
2024-01-15,19,LTC,Litecoin,"$5,131,633,571.69",$69.2556
2024-01-15,20,BCH,Bitcoin Cash,"$4,911,932,365.33",$250.4189
2024-01-16,1,BTC,Bitcoin,"$845,855,247,845.19","$43,154.9442"
2024-01-16,2,ETH,Ethereum,"$310,990,707,686.44","$2,587.6911"
2024-01-16,3,USDT,Tether USDt,"$95,109,222,018.49",$0.9999
2024-01-16,4,BNB,BNB,"$47,816,472,390.32",$315.2263
2024-01-16,5,SOL,Solana,"$42,242,678,606.95",$97.6269
2024-01-16,6,XRP,XRP,"$31,254,813,317.81",$0.5759
2024-01-16,7,USDC,USDC,"$25,435,131,546.58",$1.0002
